"Offense category","Total offenses","Drugs/Narcotics","Percentage of Offense category","Alcohol","Percentage of Offense Category","Estado"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Wisconsin"
"Robbery","149862","2725","1.80","2567","1.70","Wisconsin"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Wisconsin"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Wisconsin"
"Animal Cruelty","20512","220","1.10","361","1.80","Wisconsin"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Wisconsin"
"Gambling Offenses","2121","26","1.20","19","0.90","Wisconsin"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Wisconsin"
"Prostitution Offenses","13007","527","4.10","132","1.00","Wisconsin"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Wisconsin"
"Total","13166782","902482","6.90","450459","3.40","Wyoming"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Wyoming"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Wyoming"
"Homicide Offenses","18785","894","4.80","1054","5.60","Wyoming"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Wyoming"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Wyoming"
"Sex Offenses","204055","6819","3.30","13989","6.90","Wyoming"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Wyoming"
"Arson","30166","833","2.80","713","2.40","Wyoming"
"Bribery","652","41","6.30","85","13.00","Wyoming"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Wyoming"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Wyoming"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Wyoming"
"Embezzlement","32481","256","0.80","90","0.30","Wyoming"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Wyoming"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Wyoming"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Wyoming"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Wyoming"
"Robbery","149862","2725","1.80","2567","1.70","Wyoming"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Wyoming"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Wyoming"
"Animal Cruelty","20512","220","1.10","361","1.80","Wyoming"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Wyoming"
"Gambling Offenses","2121","26","1.20","19","0.90","Wyoming"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Wyoming"
"Prostitution Offenses","13007","527","4.10","132","1.00","Wyoming"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Wyoming"
"Total","13166782","902482","6.90","450459","3.40","Wyoming"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Wyoming"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Wyoming"
"Homicide Offenses","18785","894","4.80","1054","5.60","Wyoming"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Wyoming"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Wyoming"
"Sex Offenses","204055","6819","3.30","13989","6.90","Wyoming"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Wyoming"
"Arson","30166","833","2.80","713","2.40","Wyoming"
"Bribery","652","41","6.30","85","13.00","Wyoming"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Wyoming"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Wyoming"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Wyoming"
"Embezzlement","32481","256","0.80","90","0.30","Wyoming"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Wyoming"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Wyoming"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Wyoming"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Wyoming"
"Robbery","149862","2725","1.80","2567","1.70","Wyoming"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Wyoming"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Wyoming"
"Animal Cruelty","20512","220","1.10","361","1.80","Wyoming"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Wyoming"
"Gambling Offenses","2121","26","1.20","19","0.90","Wyoming"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Wyoming"
"Prostitution Offenses","13007","527","4.10","132","1.00","Wyoming"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Wyoming"
"Total","13166782","902482","6.90","450459","3.40","U.S. Virgin Islands"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","U.S. Virgin Islands"
"Assault Offenses","3187575","78839","2.50","292031","9.20","U.S. Virgin Islands"
"Homicide Offenses","18785","894","4.80","1054","5.60","U.S. Virgin Islands"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","U.S. Virgin Islands"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","U.S. Virgin Islands"
"Sex Offenses","204055","6819","3.30","13989","6.90","U.S. Virgin Islands"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","U.S. Virgin Islands"
"Arson","30166","833","2.80","713","2.40","U.S. Virgin Islands"
"Bribery","652","41","6.30","85","13.00","U.S. Virgin Islands"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","U.S. Virgin Islands"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","U.S. Virgin Islands"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","U.S. Virgin Islands"
"Embezzlement","32481","256","0.80","90","0.30","U.S. Virgin Islands"
"Extortion/Blackmail","20298","60","0.30","56","0.30","U.S. Virgin Islands"
"Fraud Offenses","843491","7774","0.90","3929","0.50","U.S. Virgin Islands"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","U.S. Virgin Islands"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","U.S. Virgin Islands"
"Robbery","149862","2725","1.80","2567","1.70","U.S. Virgin Islands"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","U.S. Virgin Islands"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","U.S. Virgin Islands"
"Animal Cruelty","20512","220","1.10","361","1.80","U.S. Virgin Islands"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","U.S. Virgin Islands"
"Gambling Offenses","2121","26","1.20","19","0.90","U.S. Virgin Islands"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","U.S. Virgin Islands"
"Prostitution Offenses","13007","527","4.10","132","1.00","U.S. Virgin Islands"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","U.S. Virgin Islands"
"Total","13166782","902482","6.90","450459","3.40","Puerto Rico"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Puerto Rico"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Puerto Rico"
"Homicide Offenses","18785","894","4.80","1054","5.60","Puerto Rico"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Puerto Rico"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Puerto Rico"
"Sex Offenses","204055","6819","3.30","13989","6.90","Puerto Rico"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Puerto Rico"
"Arson","30166","833","2.80","713","2.40","Puerto Rico"
"Bribery","652","41","6.30","85","13.00","Puerto Rico"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Puerto Rico"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Puerto Rico"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Puerto Rico"
"Embezzlement","32481","256","0.80","90","0.30","Puerto Rico"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Puerto Rico"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Puerto Rico"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Puerto Rico"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Puerto Rico"
"Robbery","149862","2725","1.80","2567","1.70","Puerto Rico"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Puerto Rico"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Puerto Rico"
"Animal Cruelty","20512","220","1.10","361","1.80","Puerto Rico"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Puerto Rico"
"Gambling Offenses","2121","26","1.20","19","0.90","Puerto Rico"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Puerto Rico"
"Prostitution Offenses","13007","527","4.10","132","1.00","Puerto Rico"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Puerto Rico"
"Total","13166782","902482","6.90","450459","3.40","Indiana"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Indiana"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Indiana"
"Homicide Offenses","18785","894","4.80","1054","5.60","Indiana"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Indiana"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Indiana"
"Sex Offenses","204055","6819","3.30","13989","6.90","Indiana"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Indiana"
"Arson","30166","833","2.80","713","2.40","Indiana"
"Bribery","652","41","6.30","85","13.00","Indiana"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Indiana"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Indiana"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Indiana"
"Embezzlement","32481","256","0.80","90","0.30","Indiana"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Indiana"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Indiana"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Indiana"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Indiana"
"Robbery","149862","2725","1.80","2567","1.70","Indiana"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Indiana"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Indiana"
"Animal Cruelty","20512","220","1.10","361","1.80","Indiana"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Indiana"
"Gambling Offenses","2121","26","1.20","19","0.90","Indiana"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Indiana"
"Prostitution Offenses","13007","527","4.10","132","1.00","Indiana"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Indiana"
"Total","13166782","902482","6.90","450459","3.40","Guam"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Guam"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Guam"
"Homicide Offenses","18785","894","4.80","1054","5.60","Guam"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Guam"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Guam"
"Sex Offenses","204055","6819","3.30","13989","6.90","Guam"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Guam"
"Arson","30166","833","2.80","713","2.40","Guam"
"Bribery","652","41","6.30","85","13.00","Guam"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Guam"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Guam"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Guam"
"Embezzlement","32481","256","0.80","90","0.30","Guam"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Guam"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Guam"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Guam"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Guam"
"Robbery","149862","2725","1.80","2567","1.70","Guam"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Guam"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Guam"
"Animal Cruelty","20512","220","1.10","361","1.80","Guam"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Guam"
"Gambling Offenses","2121","26","1.20","19","0.90","Guam"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Guam"
"Prostitution Offenses","13007","527","4.10","132","1.00","Guam"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Guam"
"Total","13166782","902482","6.90","450459","3.40","American Samoa"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","American Samoa"
"Assault Offenses","3187575","78839","2.50","292031","9.20","American Samoa"
"Homicide Offenses","18785","894","4.80","1054","5.60","American Samoa"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","American Samoa"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","American Samoa"
"Sex Offenses","204055","6819","3.30","13989","6.90","American Samoa"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","American Samoa"
"Arson","30166","833","2.80","713","2.40","American Samoa"
"Bribery","652","41","6.30","85","13.00","American Samoa"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","American Samoa"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","American Samoa"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","American Samoa"
"Embezzlement","32481","256","0.80","90","0.30","American Samoa"
"Extortion/Blackmail","20298","60","0.30","56","0.30","American Samoa"
"Fraud Offenses","843491","7774","0.90","3929","0.50","American Samoa"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","American Samoa"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","American Samoa"
"Robbery","149862","2725","1.80","2567","1.70","American Samoa"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","American Samoa"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","American Samoa"
"Animal Cruelty","20512","220","1.10","361","1.80","American Samoa"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","American Samoa"
"Gambling Offenses","2121","26","1.20","19","0.90","American Samoa"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","American Samoa"
"Prostitution Offenses","13007","527","4.10","132","1.00","American Samoa"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","American Samoa"
"Total","13166782","902482","6.90","450459","3.40","Marina Islands"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Marina Islands"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Marina Islands"
"Homicide Offenses","18785","894","4.80","1054","5.60","Marina Islands"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Marina Islands"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Marina Islands"
"Sex Offenses","204055","6819","3.30","13989","6.90","Marina Islands"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Marina Islands"
"Arson","30166","833","2.80","713","2.40","Marina Islands"
"Bribery","652","41","6.30","85","13.00","Marina Islands"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Marina Islands"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Marina Islands"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Marina Islands"
"Embezzlement","32481","256","0.80","90","0.30","Marina Islands"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Marina Islands"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Marina Islands"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Marina Islands"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Marina Islands"
"Robbery","149862","2725","1.80","2567","1.70","Marina Islands"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Marina Islands"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Marina Islands"
"Animal Cruelty","20512","220","1.10","361","1.80","Marina Islands"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Marina Islands"
"Gambling Offenses","2121","26","1.20","19","0.90","Marina Islands"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Marina Islands"
"Prostitution Offenses","13007","527","4.10","132","1.00","Marina Islands"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Marina Islands"
