Time of Day,Total Incidents,Arson,Bribery,Burglary,Counterfeiting/Forgery,Vandalism,Embezzlement,Extorsion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Estado
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,california
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,california
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,california
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,california
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,california
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,california
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,california
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,california
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,california
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,california
