Time of Day,Total Incidents,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations,Estado
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,districticof columbia
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,districticof columbia
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,districticof columbia
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,districticof columbia
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,districticof columbia
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,districticof columbia
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,districticof columbia
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,districticof columbia
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,districticof columbia
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,districticof columbia
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,districticof columbia
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,districticof columbia
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,districticof columbia
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,districticof columbia
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,districticof columbia
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,districticof columbia
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,districticof columbia
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,districticof columbia
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,districticof columbia
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,florida
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,florida
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,florida
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,florida
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,florida
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,florida
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,florida
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,florida
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,florida
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,florida
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,florida
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,florida
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,florida
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,florida
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,florida
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,florida
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,florida
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,florida
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,florida
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,florida
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,florida
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,florida
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,florida
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,florida
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,florida
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,florida
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,florida
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,florida
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,georgia
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,georgia
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,georgia
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,georgia
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,georgia
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,georgia
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,georgia
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,georgia
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,georgia
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,georgia
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,georgia
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,georgia
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,georgia
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,georgia
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,georgia
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,georgia
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,georgia
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,georgia
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,georgia
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,georgia
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,georgia
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,georgia
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,georgia
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,georgia
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,georgia
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,georgia
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,georgia
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,georgia
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,guam
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,guam
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,guam
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,guam
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,guam
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,guam
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,guam
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,guam
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,guam
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,guam
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,guam
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,guam
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,guam
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,guam
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,guam
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,guam
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,guam
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,guam
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,guam
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,guam
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,guam
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,guam
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,guam
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,guam
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,guam
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,guam
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,guam
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,guam
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,hawaii
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,hawaii
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,hawaii
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,hawaii
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,hawaii
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,hawaii
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,hawaii
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,hawaii
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,hawaii
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,hawaii
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,hawaii
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,hawaii
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,hawaii
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,hawaii
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,hawaii
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,hawaii
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,hawaii
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,hawaii
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,hawaii
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,hawaii
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,hawaii
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,hawaii
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,hawaii
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,hawaii
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,hawaii
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,hawaii
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,hawaii
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,hawaii
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,idaho
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,idaho
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,idaho
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,idaho
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,idaho
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,idaho
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,idaho
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,idaho
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,idaho
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,idaho
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,idaho
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,idaho
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,idaho
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,idaho
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,idaho
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,idaho
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,idaho
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,idaho
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,idaho
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,idaho
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,idaho
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,idaho
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,idaho
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,idaho
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,idaho
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,idaho
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,idaho
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,idaho
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,illinois
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,illinois
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,illinois
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,illinois
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,illinois
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,illinois
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,illinois
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,illinois
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,illinois
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,illinois
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,illinois
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,illinois
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,illinois
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,illinois
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,illinois
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,illinois
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,illinois
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,illinois
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,illinois
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,illinois
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,illinois
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,illinois
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,illinois
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,illinois
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,illinois
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,illinois
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,illinois
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,illinois
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,indiana
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,indiana
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,indiana
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,indiana
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,indiana
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,indiana
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,indiana
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,indiana
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,indiana
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,indiana
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,indiana
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,indiana
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,indiana
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,indiana
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,indiana
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,indiana
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,indiana
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,indiana
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,indiana
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,indiana
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,indiana
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,indiana
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,indiana
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,indiana
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,indiana
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,indiana
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,indiana
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,indiana
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,iowa
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,iowa
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,iowa
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,iowa
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,iowa
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,iowa
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,iowa
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,iowa
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,iowa
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,iowa
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,iowa
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,iowa
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,iowa
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,iowa
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,iowa
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,iowa
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,iowa
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,iowa
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,iowa
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,iowa
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,iowa
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,iowa
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,iowa
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,iowa
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,iowa
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,iowa
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,iowa
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,iowa
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,kansas
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,kansas
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,kansas
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,kansas
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,kansas
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,kansas
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,kansas
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,kansas
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,kansas
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,kansas
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,kansas
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,kansas
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,kansas
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,kansas
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,kansas
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,kansas
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,kansas
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,kansas
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,kansas
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,kansas
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,kansas
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,kansas
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,kansas
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,kansas
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,kansas
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,kansas
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,kansas
