"Offense Category","Incidents","Offenses","Victims","Known offenders","estado"
"Fraud Offenses","843491","843491","915256","428944","Columbia"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Columbia"
"Motor Vehicle Theft","721157","721157","753345","346525","Columbia"
"Robbery","149862","149862","197705","195201","Columbia"
"Stolen Property Offenses","115445","115445","135134","134677","Columbia"
"Crimes Against Society","1860969","1860969","1861007","2179366","Columbia"
"Animal Cruelty","20512","20512","20513","18864","Columbia"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Columbia"
"Gambling Offenses","2121","2121","2121","3215","Columbia"
"Pornography/Obscene Material","39871","39871","39872","32925","Columbia"
"Prostitution Offenses","13007","13007","13007","14945","Columbia"
"Weapon Law Violations","325998","325998","326022","353629","Columbia"
"Total","11195659","13166782","13834692","9873871","Connecticut"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Connecticut"
"Assault Offenses","2737786","3187575","3187575","2918676","Connecticut"
"Homicide Offenses","17189","18785","18786","19274","Connecticut"
"Human Trafficking Offenses","2234","2691","2691","2428","Connecticut"
"Kidnapping/Abduction","39098","43083","43083","43012","Connecticut"
"Sex Offenses","192147","204055","204055","186462","Connecticut"
"Crimes Against Property","7849624","7849624","8517495","4524653","Connecticut"
"Arson","30166","30166","36637","21249","Connecticut"
"Bribery","652","652","695","656","Connecticut"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Connecticut"
"Counterfeiting/Forgery","147573","147573","161913","109595","Connecticut"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Connecticut"
"Embezzlement","32481","32481","34284","32730","Connecticut"
"Extortion/Blackmail","20298","20298","20897","9451","Connecticut"
"Fraud Offenses","843491","843491","915256","428944","Connecticut"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Connecticut"
"Motor Vehicle Theft","721157","721157","753345","346525","Connecticut"
"Robbery","149862","149862","197705","195201","Connecticut"
"Stolen Property Offenses","115445","115445","135134","134677","Connecticut"
"Crimes Against Society","1860969","1860969","1861007","2179366","Connecticut"
"Animal Cruelty","20512","20512","20513","18864","Connecticut"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Connecticut"
"Gambling Offenses","2121","2121","2121","3215","Connecticut"
"Pornography/Obscene Material","39871","39871","39872","32925","Connecticut"
"Prostitution Offenses","13007","13007","13007","14945","Connecticut"
"Weapon Law Violations","325998","325998","326022","353629","Connecticut"
"Total","11195659","13166782","13834692","9873871","Delaware"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Delaware"
"Assault Offenses","2737786","3187575","3187575","2918676","Delaware"
"Homicide Offenses","17189","18785","18786","19274","Delaware"
"Human Trafficking Offenses","2234","2691","2691","2428","Delaware"
"Kidnapping/Abduction","39098","43083","43083","43012","Delaware"
"Sex Offenses","192147","204055","204055","186462","Delaware"
"Crimes Against Property","7849624","7849624","8517495","4524653","Delaware"
"Arson","30166","30166","36637","21249","Delaware"
"Bribery","652","652","695","656","Delaware"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Delaware"
"Counterfeiting/Forgery","147573","147573","161913","109595","Delaware"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Delaware"
"Embezzlement","32481","32481","34284","32730","Delaware"
"Extortion/Blackmail","20298","20298","20897","9451","Delaware"
"Fraud Offenses","843491","843491","915256","428944","Delaware"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Delaware"
"Motor Vehicle Theft","721157","721157","753345","346525","Delaware"
"Robbery","149862","149862","197705","195201","Delaware"
"Stolen Property Offenses","115445","115445","135134","134677","Delaware"
"Crimes Against Society","1860969","1860969","1861007","2179366","Delaware"
"Animal Cruelty","20512","20512","20513","18864","Delaware"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Delaware"
"Gambling Offenses","2121","2121","2121","3215","Delaware"
"Pornography/Obscene Material","39871","39871","39872","32925","Delaware"
"Prostitution Offenses","13007","13007","13007","14945","Delaware"
"Weapon Law Violations","325998","325998","326022","353629","Delaware"
"Total","11195659","13166782","13834692","9873871","Florida"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Florida"
"Assault Offenses","2737786","3187575","3187575","2918676","Florida"
"Homicide Offenses","17189","18785","18786","19274","Florida"
"Human Trafficking Offenses","2234","2691","2691","2428","Florida"
"Kidnapping/Abduction","39098","43083","43083","43012","Florida"
"Sex Offenses","192147","204055","204055","186462","Florida"
"Crimes Against Property","7849624","7849624","8517495","4524653","Florida"
"Arson","30166","30166","36637","21249","Florida"
"Bribery","652","652","695","656","Florida"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Florida"
"Counterfeiting/Forgery","147573","147573","161913","109595","Florida"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Florida"
"Embezzlement","32481","32481","34284","32730","Florida"
"Extortion/Blackmail","20298","20298","20897","9451","Florida"
"Fraud Offenses","843491","843491","915256","428944","Florida"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Florida"
"Motor Vehicle Theft","721157","721157","753345","346525","Florida"
"Robbery","149862","149862","197705","195201","Florida"
"Stolen Property Offenses","115445","115445","135134","134677","Florida"
"Crimes Against Society","1860969","1860969","1861007","2179366","Florida"
"Animal Cruelty","20512","20512","20513","18864","Florida"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Florida"
"Gambling Offenses","2121","2121","2121","3215","Florida"
"Pornography/Obscene Material","39871","39871","39872","32925","Florida"
"Prostitution Offenses","13007","13007","13007","14945","Florida"
"Weapon Law Violations","325998","325998","326022","353629","Florida"
"Total","11195659","13166782","13834692","9873871","Georgia"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Georgia"
"Assault Offenses","2737786","3187575","3187575","2918676","Georgia"
"Homicide Offenses","17189","18785","18786","19274","Georgia"
"Human Trafficking Offenses","2234","2691","2691","2428","Georgia"
"Kidnapping/Abduction","39098","43083","43083","43012","Georgia"
"Sex Offenses","192147","204055","204055","186462","Georgia"
"Crimes Against Property","7849624","7849624","8517495","4524653","Georgia"
"Arson","30166","30166","36637","21249","Georgia"
"Bribery","652","652","695","656","Georgia"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Georgia"
"Counterfeiting/Forgery","147573","147573","161913","109595","Georgia"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Georgia"
"Embezzlement","32481","32481","34284","32730","Georgia"
"Extortion/Blackmail","20298","20298","20897","9451","Georgia"
"Fraud Offenses","843491","843491","915256","428944","Georgia"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Georgia"
"Motor Vehicle Theft","721157","721157","753345","346525","Georgia"
"Robbery","149862","149862","197705","195201","Georgia"
"Stolen Property Offenses","115445","115445","135134","134677","Georgia"
"Crimes Against Society","1860969","1860969","1861007","2179366","Georgia"
"Animal Cruelty","20512","20512","20513","18864","Georgia"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Georgia"
"Gambling Offenses","2121","2121","2121","3215","Georgia"
"Pornography/Obscene Material","39871","39871","39872","32925","Georgia"
"Prostitution Offenses","13007","13007","13007","14945","Georgia"
"Weapon Law Violations","325998","325998","326022","353629","Georgia"
"Total","11195659","13166782","13834692","9873871","Guam"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Guam"
"Assault Offenses","2737786","3187575","3187575","2918676","Guam"
"Homicide Offenses","17189","18785","18786","19274","Guam"
"Human Trafficking Offenses","2234","2691","2691","2428","Guam"
"Kidnapping/Abduction","39098","43083","43083","43012","Guam"
"Sex Offenses","192147","204055","204055","186462","Guam"
"Crimes Against Property","7849624","7849624","8517495","4524653","Guam"
"Arson","30166","30166","36637","21249","Guam"
"Bribery","652","652","695","656","Guam"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Guam"
"Counterfeiting/Forgery","147573","147573","161913","109595","Guam"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Guam"
"Embezzlement","32481","32481","34284","32730","Guam"
"Extortion/Blackmail","20298","20298","20897","9451","Guam"
"Fraud Offenses","843491","843491","915256","428944","Guam"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Guam"
"Motor Vehicle Theft","721157","721157","753345","346525","Guam"
"Robbery","149862","149862","197705","195201","Guam"
"Stolen Property Offenses","115445","115445","135134","134677","Guam"
"Crimes Against Society","1860969","1860969","1861007","2179366","Guam"
"Animal Cruelty","20512","20512","20513","18864","Guam"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Guam"
"Gambling Offenses","2121","2121","2121","3215","Guam"
"Pornography/Obscene Material","39871","39871","39872","32925","Guam"
"Prostitution Offenses","13007","13007","13007","14945","Guam"
"Weapon Law Violations","325998","325998","326022","353629","Guam"
"Total","11195659","13166782","13834692","9873871","Hawaii"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Hawaii"
"Assault Offenses","2737786","3187575","3187575","2918676","Hawaii"
"Homicide Offenses","17189","18785","18786","19274","Hawaii"
"Human Trafficking Offenses","2234","2691","2691","2428","Hawaii"
"Kidnapping/Abduction","39098","43083","43083","43012","Hawaii"
"Sex Offenses","192147","204055","204055","186462","Hawaii"
"Crimes Against Property","7849624","7849624","8517495","4524653","Hawaii"
"Arson","30166","30166","36637","21249","Hawaii"
"Bribery","652","652","695","656","Hawaii"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Hawaii"
"Counterfeiting/Forgery","147573","147573","161913","109595","Hawaii"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Hawaii"
"Embezzlement","32481","32481","34284","32730","Hawaii"
"Extortion/Blackmail","20298","20298","20897","9451","Hawaii"
"Fraud Offenses","843491","843491","915256","428944","Hawaii"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Hawaii"
"Motor Vehicle Theft","721157","721157","753345","346525","Hawaii"
"Robbery","149862","149862","197705","195201","Hawaii"
"Stolen Property Offenses","115445","115445","135134","134677","Hawaii"
"Crimes Against Society","1860969","1860969","1861007","2179366","Hawaii"
"Animal Cruelty","20512","20512","20513","18864","Hawaii"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Hawaii"
"Gambling Offenses","2121","2121","2121","3215","Hawaii"
"Pornography/Obscene Material","39871","39871","39872","32925","Hawaii"
"Prostitution Offenses","13007","13007","13007","14945","Hawaii"
"Weapon Law Violations","325998","325998","326022","353629","Hawaii"
"Total","11195659","13166782","13834692","9873871","Idaho"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Idaho"
"Assault Offenses","2737786","3187575","3187575","2918676","Idaho"
"Homicide Offenses","17189","18785","18786","19274","Idaho"
"Human Trafficking Offenses","2234","2691","2691","2428","Idaho"
"Kidnapping/Abduction","39098","43083","43083","43012","Idaho"
"Sex Offenses","192147","204055","204055","186462","Idaho"
"Crimes Against Property","7849624","7849624","8517495","4524653","Idaho"
"Arson","30166","30166","36637","21249","Idaho"
"Bribery","652","652","695","656","Idaho"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Idaho"
"Counterfeiting/Forgery","147573","147573","161913","109595","Idaho"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Idaho"
"Embezzlement","32481","32481","34284","32730","Idaho"
"Extortion/Blackmail","20298","20298","20897","9451","Idaho"
"Fraud Offenses","843491","843491","915256","428944","Idaho"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Idaho"
"Motor Vehicle Theft","721157","721157","753345","346525","Idaho"
"Robbery","149862","149862","197705","195201","Idaho"
"Stolen Property Offenses","115445","115445","135134","134677","Idaho"
"Crimes Against Society","1860969","1860969","1861007","2179366","Idaho"
"Animal Cruelty","20512","20512","20513","18864","Idaho"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Idaho"
"Gambling Offenses","2121","2121","2121","3215","Idaho"
"Pornography/Obscene Material","39871","39871","39872","32925","Idaho"
"Prostitution Offenses","13007","13007","13007","14945","Idaho"
"Weapon Law Violations","325998","325998","326022","353629","Idaho"
"Total","11195659","13166782","13834692","9873871","Illinois"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Illinois"
"Assault Offenses","2737786","3187575","3187575","2918676","Illinois"
"Homicide Offenses","17189","18785","18786","19274","Illinois"
"Human Trafficking Offenses","2234","2691","2691","2428","Illinois"
"Kidnapping/Abduction","39098","43083","43083","43012","Illinois"
"Sex Offenses","192147","204055","204055","186462","Illinois"
"Crimes Against Property","7849624","7849624","8517495","4524653","Illinois"
"Arson","30166","30166","36637","21249","Illinois"
"Bribery","652","652","695","656","Illinois"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Illinois"
"Counterfeiting/Forgery","147573","147573","161913","109595","Illinois"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Illinois"
"Embezzlement","32481","32481","34284","32730","Illinois"
"Extortion/Blackmail","20298","20298","20897","9451","Illinois"
"Fraud Offenses","843491","843491","915256","428944","Illinois"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Illinois"
"Motor Vehicle Theft","721157","721157","753345","346525","Illinois"
"Robbery","149862","149862","197705","195201","Illinois"
"Stolen Property Offenses","115445","115445","135134","134677","Illinois"
"Crimes Against Society","1860969","1860969","1861007","2179366","Illinois"
"Animal Cruelty","20512","20512","20513","18864","Illinois"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Illinois"
"Gambling Offenses","2121","2121","2121","3215","Illinois"
"Pornography/Obscene Material","39871","39871","39872","32925","Illinois"
"Prostitution Offenses","13007","13007","13007","14945","Illinois"
"Weapon Law Violations","325998","325998","326022","353629","Illinois"
"Total","11195659","13166782","13834692","9873871","Indiana"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Indiana"
"Assault Offenses","2737786","3187575","3187575","2918676","Indiana"
"Homicide Offenses","17189","18785","18786","19274","Indiana"
"Human Trafficking Offenses","2234","2691","2691","2428","Indiana"
"Kidnapping/Abduction","39098","43083","43083","43012","Indiana"
"Sex Offenses","192147","204055","204055","186462","Indiana"
"Crimes Against Property","7849624","7849624","8517495","4524653","Indiana"
"Arson","30166","30166","36637","21249","Indiana"
"Bribery","652","652","695","656","Indiana"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Indiana"
"Counterfeiting/Forgery","147573","147573","161913","109595","Indiana"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Indiana"
"Embezzlement","32481","32481","34284","32730","Indiana"
"Extortion/Blackmail","20298","20298","20897","9451","Indiana"
"Fraud Offenses","843491","843491","915256","428944","Indiana"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Indiana"
"Motor Vehicle Theft","721157","721157","753345","346525","Indiana"
"Robbery","149862","149862","197705","195201","Indiana"
"Stolen Property Offenses","115445","115445","135134","134677","Indiana"
"Crimes Against Society","1860969","1860969","1861007","2179366","Indiana"
"Animal Cruelty","20512","20512","20513","18864","Indiana"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Indiana"
"Gambling Offenses","2121","2121","2121","3215","Indiana"
"Pornography/Obscene Material","39871","39871","39872","32925","Indiana"
"Prostitution Offenses","13007","13007","13007","14945","Indiana"
"Weapon Law Violations","325998","325998","326022","353629","Indiana"
"Total","11195659","13166782","13834692","9873871","Iowa"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Iowa"
"Assault Offenses","2737786","3187575","3187575","2918676","Iowa"
"Homicide Offenses","17189","18785","18786","19274","Iowa"
"Human Trafficking Offenses","2234","2691","2691","2428","Iowa"
"Kidnapping/Abduction","39098","43083","43083","43012","Iowa"
"Sex Offenses","192147","204055","204055","186462","Iowa"
"Crimes Against Property","7849624","7849624","8517495","4524653","Iowa"
"Arson","30166","30166","36637","21249","Iowa"
"Bribery","652","652","695","656","Iowa"
