"Offense Category","Incidents","Offenses","Victims","Known offenders","estado"
"Burglary/Breaking & Entering","672139","672139","781093","407560","New Jersey"
"Counterfeiting/Forgery","147573","147573","161913","109595","New Jersey"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","New Jersey"
"Embezzlement","32481","32481","34284","32730","New Jersey"
"Extortion/Blackmail","20298","20298","20897","9451","New Jersey"
"Fraud Offenses","843491","843491","915256","428944","New Jersey"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","New Jersey"
"Motor Vehicle Theft","721157","721157","753345","346525","New Jersey"
"Robbery","149862","149862","197705","195201","New Jersey"
"Stolen Property Offenses","115445","115445","135134","134677","New Jersey"
"Crimes Against Society","1860969","1860969","1861007","2179366","New Jersey"
"Animal Cruelty","20512","20512","20513","18864","New Jersey"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","New Jersey"
"Gambling Offenses","2121","2121","2121","3215","New Jersey"
"Pornography/Obscene Material","39871","39871","39872","32925","New Jersey"
"Prostitution Offenses","13007","13007","13007","14945","New Jersey"
"Weapon Law Violations","325998","325998","326022","353629","New Jersey"
"Total","11195659","13166782","13834692","9873871","New York"
"Crimes Against Persons","2988454","3456189","3456190","3169852","New York"
"Assault Offenses","2737786","3187575","3187575","2918676","New York"
"Homicide Offenses","17189","18785","18786","19274","New York"
"Human Trafficking Offenses","2234","2691","2691","2428","New York"
"Kidnapping/Abduction","39098","43083","43083","43012","New York"
"Sex Offenses","192147","204055","204055","186462","New York"
"Crimes Against Property","7849624","7849624","8517495","4524653","New York"
"Arson","30166","30166","36637","21249","New York"
"Bribery","652","652","695","656","New York"
"Burglary/Breaking & Entering","672139","672139","781093","407560","New York"
"Counterfeiting/Forgery","147573","147573","161913","109595","New York"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","New York"
"Embezzlement","32481","32481","34284","32730","New York"
"Extortion/Blackmail","20298","20298","20897","9451","New York"
"Fraud Offenses","843491","843491","915256","428944","New York"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","New York"
"Motor Vehicle Theft","721157","721157","753345","346525","New York"
"Robbery","149862","149862","197705","195201","New York"
"Stolen Property Offenses","115445","115445","135134","134677","New York"
"Crimes Against Society","1860969","1860969","1861007","2179366","New York"
"Animal Cruelty","20512","20512","20513","18864","New York"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","New York"
"Gambling Offenses","2121","2121","2121","3215","New York"
"Pornography/Obscene Material","39871","39871","39872","32925","New York"
"Prostitution Offenses","13007","13007","13007","14945","New York"
"Weapon Law Violations","325998","325998","326022","353629","New York"
"Total","11195659","13166782","13834692","9873871","North Carolina"
"Crimes Against Persons","2988454","3456189","3456190","3169852","North Carolina"
"Assault Offenses","2737786","3187575","3187575","2918676","North Carolina"
"Homicide Offenses","17189","18785","18786","19274","North Carolina"
"Human Trafficking Offenses","2234","2691","2691","2428","North Carolina"
"Kidnapping/Abduction","39098","43083","43083","43012","North Carolina"
"Sex Offenses","192147","204055","204055","186462","North Carolina"
"Crimes Against Property","7849624","7849624","8517495","4524653","North Carolina"
"Arson","30166","30166","36637","21249","North Carolina"
"Bribery","652","652","695","656","North Carolina"
"Burglary/Breaking & Entering","672139","672139","781093","407560","North Carolina"
"Counterfeiting/Forgery","147573","147573","161913","109595","North Carolina"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","North Carolina"
"Embezzlement","32481","32481","34284","32730","North Carolina"
"Extortion/Blackmail","20298","20298","20897","9451","North Carolina"
"Fraud Offenses","843491","843491","915256","428944","North Carolina"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","North Carolina"
"Motor Vehicle Theft","721157","721157","753345","346525","North Carolina"
"Robbery","149862","149862","197705","195201","North Carolina"
"Stolen Property Offenses","115445","115445","135134","134677","North Carolina"
"Crimes Against Society","1860969","1860969","1861007","2179366","North Carolina"
"Animal Cruelty","20512","20512","20513","18864","North Carolina"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","North Carolina"
"Gambling Offenses","2121","2121","2121","3215","North Carolina"
"Pornography/Obscene Material","39871","39871","39872","32925","North Carolina"
"Prostitution Offenses","13007","13007","13007","14945","North Carolina"
"Weapon Law Violations","325998","325998","326022","353629","North Carolina"
"Total","11195659","13166782","13834692","9873871","North Dakota"
"Crimes Against Persons","2988454","3456189","3456190","3169852","North Dakota"
"Assault Offenses","2737786","3187575","3187575","2918676","North Dakota"
"Homicide Offenses","17189","18785","18786","19274","North Dakota"
"Human Trafficking Offenses","2234","2691","2691","2428","North Dakota"
"Kidnapping/Abduction","39098","43083","43083","43012","North Dakota"
"Sex Offenses","192147","204055","204055","186462","North Dakota"
"Crimes Against Property","7849624","7849624","8517495","4524653","North Dakota"
"Arson","30166","30166","36637","21249","North Dakota"
"Bribery","652","652","695","656","North Dakota"
"Burglary/Breaking & Entering","672139","672139","781093","407560","North Dakota"
"Counterfeiting/Forgery","147573","147573","161913","109595","North Dakota"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","North Dakota"
"Embezzlement","32481","32481","34284","32730","North Dakota"
"Extortion/Blackmail","20298","20298","20897","9451","North Dakota"
"Fraud Offenses","843491","843491","915256","428944","North Dakota"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","North Dakota"
"Motor Vehicle Theft","721157","721157","753345","346525","North Dakota"
"Robbery","149862","149862","197705","195201","North Dakota"
"Stolen Property Offenses","115445","115445","135134","134677","North Dakota"
"Crimes Against Society","1860969","1860969","1861007","2179366","North Dakota"
"Animal Cruelty","20512","20512","20513","18864","North Dakota"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","North Dakota"
"Gambling Offenses","2121","2121","2121","3215","North Dakota"
"Pornography/Obscene Material","39871","39871","39872","32925","North Dakota"
"Prostitution Offenses","13007","13007","13007","14945","North Dakota"
"Weapon Law Violations","325998","325998","326022","353629","North Dakota"
"Total","11195659","13166782","13834692","9873871","Ohio"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Ohio"
"Assault Offenses","2737786","3187575","3187575","2918676","Ohio"
"Homicide Offenses","17189","18785","18786","19274","Ohio"
"Human Trafficking Offenses","2234","2691","2691","2428","Ohio"
"Kidnapping/Abduction","39098","43083","43083","43012","Ohio"
"Sex Offenses","192147","204055","204055","186462","Ohio"
"Crimes Against Property","7849624","7849624","8517495","4524653","Ohio"
"Arson","30166","30166","36637","21249","Ohio"
"Bribery","652","652","695","656","Ohio"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Ohio"
"Counterfeiting/Forgery","147573","147573","161913","109595","Ohio"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Ohio"
"Embezzlement","32481","32481","34284","32730","Ohio"
"Extortion/Blackmail","20298","20298","20897","9451","Ohio"
"Fraud Offenses","843491","843491","915256","428944","Ohio"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Ohio"
"Motor Vehicle Theft","721157","721157","753345","346525","Ohio"
"Robbery","149862","149862","197705","195201","Ohio"
"Stolen Property Offenses","115445","115445","135134","134677","Ohio"
"Crimes Against Society","1860969","1860969","1861007","2179366","Ohio"
"Animal Cruelty","20512","20512","20513","18864","Ohio"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Ohio"
"Gambling Offenses","2121","2121","2121","3215","Ohio"
"Pornography/Obscene Material","39871","39871","39872","32925","Ohio"
"Prostitution Offenses","13007","13007","13007","14945","Ohio"
"Weapon Law Violations","325998","325998","326022","353629","Ohio"
"Total","11195659","13166782","13834692","9873871","Oklahoma"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Oklahoma"
"Assault Offenses","2737786","3187575","3187575","2918676","Oklahoma"
"Homicide Offenses","17189","18785","18786","19274","Oklahoma"
"Human Trafficking Offenses","2234","2691","2691","2428","Oklahoma"
"Kidnapping/Abduction","39098","43083","43083","43012","Oklahoma"
"Sex Offenses","192147","204055","204055","186462","Oklahoma"
"Crimes Against Property","7849624","7849624","8517495","4524653","Oklahoma"
"Arson","30166","30166","36637","21249","Oklahoma"
"Bribery","652","652","695","656","Oklahoma"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Oklahoma"
"Counterfeiting/Forgery","147573","147573","161913","109595","Oklahoma"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Oklahoma"
"Embezzlement","32481","32481","34284","32730","Oklahoma"
"Extortion/Blackmail","20298","20298","20897","9451","Oklahoma"
"Fraud Offenses","843491","843491","915256","428944","Oklahoma"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Oklahoma"
"Motor Vehicle Theft","721157","721157","753345","346525","Oklahoma"
"Robbery","149862","149862","197705","195201","Oklahoma"
"Stolen Property Offenses","115445","115445","135134","134677","Oklahoma"
"Crimes Against Society","1860969","1860969","1861007","2179366","Oklahoma"
"Animal Cruelty","20512","20512","20513","18864","Oklahoma"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Oklahoma"
"Gambling Offenses","2121","2121","2121","3215","Oklahoma"
"Pornography/Obscene Material","39871","39871","39872","32925","Oklahoma"
"Prostitution Offenses","13007","13007","13007","14945","Oklahoma"
"Weapon Law Violations","325998","325998","326022","353629","Oklahoma"
"Total","11195659","13166782","13834692","9873871","Oregon"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Oregon"
"Assault Offenses","2737786","3187575","3187575","2918676","Oregon"
"Homicide Offenses","17189","18785","18786","19274","Oregon"
"Human Trafficking Offenses","2234","2691","2691","2428","Oregon"
"Kidnapping/Abduction","39098","43083","43083","43012","Oregon"
"Sex Offenses","192147","204055","204055","186462","Oregon"
"Crimes Against Property","7849624","7849624","8517495","4524653","Oregon"
"Arson","30166","30166","36637","21249","Oregon"
"Bribery","652","652","695","656","Oregon"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Oregon"
"Counterfeiting/Forgery","147573","147573","161913","109595","Oregon"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Oregon"
"Embezzlement","32481","32481","34284","32730","Oregon"
"Extortion/Blackmail","20298","20298","20897","9451","Oregon"
"Fraud Offenses","843491","843491","915256","428944","Oregon"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Oregon"
"Motor Vehicle Theft","721157","721157","753345","346525","Oregon"
"Robbery","149862","149862","197705","195201","Oregon"
"Stolen Property Offenses","115445","115445","135134","134677","Oregon"
"Crimes Against Society","1860969","1860969","1861007","2179366","Oregon"
"Animal Cruelty","20512","20512","20513","18864","Oregon"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Oregon"
"Gambling Offenses","2121","2121","2121","3215","Oregon"
"Pornography/Obscene Material","39871","39871","39872","32925","Oregon"
"Prostitution Offenses","13007","13007","13007","14945","Oregon"
"Weapon Law Violations","325998","325998","326022","353629","Oregon"
"Total","11195659","13166782","13834692","9873871","Pennsylvania"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Pennsylvania"
"Assault Offenses","2737786","3187575","3187575","2918676","Pennsylvania"
"Homicide Offenses","17189","18785","18786","19274","Pennsylvania"
"Human Trafficking Offenses","2234","2691","2691","2428","Pennsylvania"
"Kidnapping/Abduction","39098","43083","43083","43012","Pennsylvania"
"Sex Offenses","192147","204055","204055","186462","Pennsylvania"
"Crimes Against Property","7849624","7849624","8517495","4524653","Pennsylvania"
"Arson","30166","30166","36637","21249","Pennsylvania"
"Bribery","652","652","695","656","Pennsylvania"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Pennsylvania"
"Counterfeiting/Forgery","147573","147573","161913","109595","Pennsylvania"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Pennsylvania"
"Embezzlement","32481","32481","34284","32730","Pennsylvania"
"Extortion/Blackmail","20298","20298","20897","9451","Pennsylvania"
"Fraud Offenses","843491","843491","915256","428944","Pennsylvania"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Pennsylvania"
"Motor Vehicle Theft","721157","721157","753345","346525","Pennsylvania"
"Robbery","149862","149862","197705","195201","Pennsylvania"
"Stolen Property Offenses","115445","115445","135134","134677","Pennsylvania"
"Crimes Against Society","1860969","1860969","1861007","2179366","Pennsylvania"
"Animal Cruelty","20512","20512","20513","18864","Pennsylvania"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Pennsylvania"
"Gambling Offenses","2121","2121","2121","3215","Pennsylvania"
"Pornography/Obscene Material","39871","39871","39872","32925","Pennsylvania"
"Prostitution Offenses","13007","13007","13007","14945","Pennsylvania"
"Weapon Law Violations","325998","325998","326022","353629","Pennsylvania"
"Total","11195659","13166782","13834692","9873871","Puerto Rico"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Puerto Rico"
"Assault Offenses","2737786","3187575","3187575","2918676","Puerto Rico"
"Homicide Offenses","17189","18785","18786","19274","Puerto Rico"
"Human Trafficking Offenses","2234","2691","2691","2428","Puerto Rico"
"Kidnapping/Abduction","39098","43083","43083","43012","Puerto Rico"
"Sex Offenses","192147","204055","204055","186462","Puerto Rico"
"Crimes Against Property","7849624","7849624","8517495","4524653","Puerto Rico"
"Arson","30166","30166","36637","21249","Puerto Rico"
"Bribery","652","652","695","656","Puerto Rico"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Puerto Rico"
"Counterfeiting/Forgery","147573","147573","161913","109595","Puerto Rico"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Puerto Rico"
"Embezzlement","32481","32481","34284","32730","Puerto Rico"
"Extortion/Blackmail","20298","20298","20897","9451","Puerto Rico"
"Fraud Offenses","843491","843491","915256","428944","Puerto Rico"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Puerto Rico"
"Motor Vehicle Theft","721157","721157","753345","346525","Puerto Rico"
"Robbery","149862","149862","197705","195201","Puerto Rico"
"Stolen Property Offenses","115445","115445","135134","134677","Puerto Rico"
"Crimes Against Society","1860969","1860969","1861007","2179366","Puerto Rico"
"Animal Cruelty","20512","20512","20513","18864","Puerto Rico"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Puerto Rico"
"Gambling Offenses","2121","2121","2121","3215","Puerto Rico"
"Pornography/Obscene Material","39871","39871","39872","32925","Puerto Rico"
"Prostitution Offenses","13007","13007","13007","14945","Puerto Rico"
"Weapon Law Violations","325998","325998","326022","353629","Puerto Rico"
"Total","11195659","13166782","13834692","9873871","Rhode Island"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Rhode Island"
"Assault Offenses","2737786","3187575","3187575","2918676","Rhode Island"
"Homicide Offenses","17189","18785","18786","19274","Rhode Island"
"Human Trafficking Offenses","2234","2691","2691","2428","Rhode Island"
"Kidnapping/Abduction","39098","43083","43083","43012","Rhode Island"
"Sex Offenses","192147","204055","204055","186462","Rhode Island"
"Crimes Against Property","7849624","7849624","8517495","4524653","Rhode Island"
"Arson","30166","30166","36637","21249","Rhode Island"
"Bribery","652","652","695","656","Rhode Island"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Rhode Island"
"Counterfeiting/Forgery","147573","147573","161913","109595","Rhode Island"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Rhode Island"
"Embezzlement","32481","32481","34284","32730","Rhode Island"
"Extortion/Blackmail","20298","20298","20897","9451","Rhode Island"
"Fraud Offenses","843491","843491","915256","428944","Rhode Island"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Rhode Island"
"Motor Vehicle Theft","721157","721157","753345","346525","Rhode Island"
"Robbery","149862","149862","197705","195201","Rhode Island"
"Stolen Property Offenses","115445","115445","135134","134677","Rhode Island"
"Crimes Against Society","1860969","1860969","1861007","2179366","Rhode Island"
"Animal Cruelty","20512","20512","20513","18864","Rhode Island"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Rhode Island"
"Gambling Offenses","2121","2121","2121","3215","Rhode Island"
"Pornography/Obscene Material","39871","39871","39872","32925","Rhode Island"
"Prostitution Offenses","13007","13007","13007","14945","Rhode Island"
"Weapon Law Violations","325998","325998","326022","353629","Rhode Island"
"Total","11195659","13166782","13834692","9873871","South Carolina"
"Crimes Against Persons","2988454","3456189","3456190","3169852","South Carolina"
"Assault Offenses","2737786","3187575","3187575","2918676","South Carolina"
"Homicide Offenses","17189","18785","18786","19274","South Carolina"
"Human Trafficking Offenses","2234","2691","2691","2428","South Carolina"
"Kidnapping/Abduction","39098","43083","43083","43012","South Carolina"
"Sex Offenses","192147","204055","204055","186462","South Carolina"
"Crimes Against Property","7849624","7849624","8517495","4524653","South Carolina"
"Arson","30166","30166","36637","21249","South Carolina"
"Bribery","652","652","695","656","South Carolina"
"Burglary/Breaking & Entering","672139","672139","781093","407560","South Carolina"
"Counterfeiting/Forgery","147573","147573","161913","109595","South Carolina"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","South Carolina"
"Embezzlement","32481","32481","34284","32730","South Carolina"
"Extortion/Blackmail","20298","20298","20897","9451","South Carolina"
"Fraud Offenses","843491","843491","915256","428944","South Carolina"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","South Carolina"
"Motor Vehicle Theft","721157","721157","753345","346525","South Carolina"
"Robbery","149862","149862","197705","195201","South Carolina"
"Stolen Property Offenses","115445","115445","135134","134677","South Carolina"
"Crimes Against Society","1860969","1860969","1861007","2179366","South Carolina"
"Animal Cruelty","20512","20512","20513","18864","South Carolina"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","South Carolina"
"Gambling Offenses","2121","2121","2121","3215","South Carolina"
"Pornography/Obscene Material","39871","39871","39872","32925","South Carolina"
"Prostitution Offenses","13007","13007","13007","14945","South Carolina"
"Weapon Law Violations","325998","325998","326022","353629","South Carolina"
"Total","11195659","13166782","13834692","9873871","South Dakota"
"Crimes Against Persons","2988454","3456189","3456190","3169852","South Dakota"
"Assault Offenses","2737786","3187575","3187575","2918676","South Dakota"
"Homicide Offenses","17189","18785","18786","19274","South Dakota"
"Human Trafficking Offenses","2234","2691","2691","2428","South Dakota"
"Kidnapping/Abduction","39098","43083","43083","43012","South Dakota"
"Sex Offenses","192147","204055","204055","186462","South Dakota"
"Crimes Against Property","7849624","7849624","8517495","4524653","South Dakota"
"Arson","30166","30166","36637","21249","South Dakota"
"Bribery","652","652","695","656","South Dakota"
"Burglary/Breaking & Entering","672139","672139","781093","407560","South Dakota"
"Counterfeiting/Forgery","147573","147573","161913","109595","South Dakota"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","South Dakota"
"Embezzlement","32481","32481","34284","32730","South Dakota"
"Extortion/Blackmail","20298","20298","20897","9451","South Dakota"
"Fraud Offenses","843491","843491","915256","428944","South Dakota"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","South Dakota"
"Motor Vehicle Theft","721157","721157","753345","346525","South Dakota"
"Robbery","149862","149862","197705","195201","South Dakota"
"Stolen Property Offenses","115445","115445","135134","134677","South Dakota"
"Crimes Against Society","1860969","1860969","1861007","2179366","South Dakota"
"Animal Cruelty","20512","20512","20513","18864","South Dakota"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","South Dakota"
"Gambling Offenses","2121","2121","2121","3215","South Dakota"
"Pornography/Obscene Material","39871","39871","39872","32925","South Dakota"
"Prostitution Offenses","13007","13007","13007","14945","South Dakota"
"Weapon Law Violations","325998","325998","326022","353629","South Dakota"
"Total","11195659","13166782","13834692","9873871","Tennessee"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Tennessee"
"Assault Offenses","2737786","3187575","3187575","2918676","Tennessee"
"Homicide Offenses","17189","18785","18786","19274","Tennessee"
"Human Trafficking Offenses","2234","2691","2691","2428","Tennessee"
"Kidnapping/Abduction","39098","43083","43083","43012","Tennessee"
"Sex Offenses","192147","204055","204055","186462","Tennessee"
"Crimes Against Property","7849624","7849624","8517495","4524653","Tennessee"
"Arson","30166","30166","36637","21249","Tennessee"
"Bribery","652","652","695","656","Tennessee"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Tennessee"
"Counterfeiting/Forgery","147573","147573","161913","109595","Tennessee"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Tennessee"
"Embezzlement","32481","32481","34284","32730","Tennessee"
"Extortion/Blackmail","20298","20298","20897","9451","Tennessee"
"Fraud Offenses","843491","843491","915256","428944","Tennessee"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Tennessee"
"Motor Vehicle Theft","721157","721157","753345","346525","Tennessee"
"Robbery","149862","149862","197705","195201","Tennessee"
"Stolen Property Offenses","115445","115445","135134","134677","Tennessee"
"Crimes Against Society","1860969","1860969","1861007","2179366","Tennessee"
"Animal Cruelty","20512","20512","20513","18864","Tennessee"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Tennessee"
"Gambling Offenses","2121","2121","2121","3215","Tennessee"
"Pornography/Obscene Material","39871","39871","39872","32925","Tennessee"
"Prostitution Offenses","13007","13007","13007","14945","Tennessee"
"Weapon Law Violations","325998","325998","326022","353629","Tennessee"
"Total","11195659","13166782","13834692","9873871","Texas"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Texas"
"Assault Offenses","2737786","3187575","3187575","2918676","Texas"
"Homicide Offenses","17189","18785","18786","19274","Texas"
"Human Trafficking Offenses","2234","2691","2691","2428","Texas"
"Kidnapping/Abduction","39098","43083","43083","43012","Texas"
"Sex Offenses","192147","204055","204055","186462","Texas"
"Crimes Against Property","7849624","7849624","8517495","4524653","Texas"
"Arson","30166","30166","36637","21249","Texas"
"Bribery","652","652","695","656","Texas"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Texas"
"Counterfeiting/Forgery","147573","147573","161913","109595","Texas"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Texas"
"Embezzlement","32481","32481","34284","32730","Texas"
"Extortion/Blackmail","20298","20298","20897","9451","Texas"
"Fraud Offenses","843491","843491","915256","428944","Texas"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Texas"
"Motor Vehicle Theft","721157","721157","753345","346525","Texas"
"Robbery","149862","149862","197705","195201","Texas"
"Stolen Property Offenses","115445","115445","135134","134677","Texas"
"Crimes Against Society","1860969","1860969","1861007","2179366","Texas"
"Animal Cruelty","20512","20512","20513","18864","Texas"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Texas"
"Gambling Offenses","2121","2121","2121","3215","Texas"
"Pornography/Obscene Material","39871","39871","39872","32925","Texas"
"Prostitution Offenses","13007","13007","13007","14945","Texas"
"Weapon Law Violations","325998","325998","326022","353629","Texas"
"Total","11195659","13166782","13834692","9873871","Utah"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Utah"
"Assault Offenses","2737786","3187575","3187575","2918676","Utah"
"Homicide Offenses","17189","18785","18786","19274","Utah"
"Human Trafficking Offenses","2234","2691","2691","2428","Utah"
"Kidnapping/Abduction","39098","43083","43083","43012","Utah"
"Sex Offenses","192147","204055","204055","186462","Utah"
"Crimes Against Property","7849624","7849624","8517495","4524653","Utah"
"Arson","30166","30166","36637","21249","Utah"
"Bribery","652","652","695","656","Utah"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Utah"
"Counterfeiting/Forgery","147573","147573","161913","109595","Utah"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Utah"
"Embezzlement","32481","32481","34284","32730","Utah"
"Extortion/Blackmail","20298","20298","20897","9451","Utah"
"Fraud Offenses","843491","843491","915256","428944","Utah"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Utah"
"Motor Vehicle Theft","721157","721157","753345","346525","Utah"
"Robbery","149862","149862","197705","195201","Utah"
"Stolen Property Offenses","115445","115445","135134","134677","Utah"
"Crimes Against Society","1860969","1860969","1861007","2179366","Utah"
"Animal Cruelty","20512","20512","20513","18864","Utah"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Utah"
"Gambling Offenses","2121","2121","2121","3215","Utah"
"Pornography/Obscene Material","39871","39871","39872","32925","Utah"
"Prostitution Offenses","13007","13007","13007","14945","Utah"
"Weapon Law Violations","325998","325998","326022","353629","Utah"
"Total","11195659","13166782","13834692","9873871","Vermont"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Vermont"
"Assault Offenses","2737786","3187575","3187575","2918676","Vermont"
"Homicide Offenses","17189","18785","18786","19274","Vermont"
"Human Trafficking Offenses","2234","2691","2691","2428","Vermont"
"Kidnapping/Abduction","39098","43083","43083","43012","Vermont"
"Sex Offenses","192147","204055","204055","186462","Vermont"
"Crimes Against Property","7849624","7849624","8517495","4524653","Vermont"
"Arson","30166","30166","36637","21249","Vermont"
"Bribery","652","652","695","656","Vermont"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Vermont"
"Counterfeiting/Forgery","147573","147573","161913","109595","Vermont"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Vermont"
"Embezzlement","32481","32481","34284","32730","Vermont"
"Extortion/Blackmail","20298","20298","20897","9451","Vermont"
"Fraud Offenses","843491","843491","915256","428944","Vermont"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Vermont"
"Motor Vehicle Theft","721157","721157","753345","346525","Vermont"
"Robbery","149862","149862","197705","195201","Vermont"
"Stolen Property Offenses","115445","115445","135134","134677","Vermont"
"Crimes Against Society","1860969","1860969","1861007","2179366","Vermont"
"Animal Cruelty","20512","20512","20513","18864","Vermont"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Vermont"
"Gambling Offenses","2121","2121","2121","3215","Vermont"
"Pornography/Obscene Material","39871","39871","39872","32925","Vermont"
"Prostitution Offenses","13007","13007","13007","14945","Vermont"
"Weapon Law Violations","325998","325998","326022","353629","Vermont"
"Total","11195659","13166782","13834692","9873871","Virginia"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Virginia"
"Assault Offenses","2737786","3187575","3187575","2918676","Virginia"
"Homicide Offenses","17189","18785","18786","19274","Virginia"
"Human Trafficking Offenses","2234","2691","2691","2428","Virginia"
"Kidnapping/Abduction","39098","43083","43083","43012","Virginia"
"Sex Offenses","192147","204055","204055","186462","Virginia"
"Crimes Against Property","7849624","7849624","8517495","4524653","Virginia"
"Arson","30166","30166","36637","21249","Virginia"
"Bribery","652","652","695","656","Virginia"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Virginia"
"Counterfeiting/Forgery","147573","147573","161913","109595","Virginia"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Virginia"
"Embezzlement","32481","32481","34284","32730","Virginia"
"Extortion/Blackmail","20298","20298","20897","9451","Virginia"
"Fraud Offenses","843491","843491","915256","428944","Virginia"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Virginia"
"Motor Vehicle Theft","721157","721157","753345","346525","Virginia"
"Robbery","149862","149862","197705","195201","Virginia"
"Stolen Property Offenses","115445","115445","135134","134677","Virginia"
"Crimes Against Society","1860969","1860969","1861007","2179366","Virginia"
"Animal Cruelty","20512","20512","20513","18864","Virginia"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Virginia"
"Gambling Offenses","2121","2121","2121","3215","Virginia"
"Pornography/Obscene Material","39871","39871","39872","32925","Virginia"
"Prostitution Offenses","13007","13007","13007","14945","Virginia"
"Weapon Law Violations","325998","325998","326022","353629","Virginia"
"Total","11195659","13166782","13834692","9873871","Virgin Islands"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Virgin Islands"
"Assault Offenses","2737786","3187575","3187575","2918676","Virgin Islands"
"Homicide Offenses","17189","18785","18786","19274","Virgin Islands"
"Human Trafficking Offenses","2234","2691","2691","2428","Virgin Islands"
"Kidnapping/Abduction","39098","43083","43083","43012","Virgin Islands"
"Sex Offenses","192147","204055","204055","186462","Virgin Islands"
"Crimes Against Property","7849624","7849624","8517495","4524653","Virgin Islands"
