Time of Day,Total Incidents,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Estado
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,florida
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,florida
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,florida
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,florida
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,florida
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,florida
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,florida
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,florida
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,florida
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,florida
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,florida
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,florida
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,florida
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,florida
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,florida
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,florida
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,florida
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,florida
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,georgia
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,georgia
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,georgia
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,georgia
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,georgia
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,georgia
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,georgia
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,georgia
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,georgia
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,georgia
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,georgia
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,georgia
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,georgia
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,georgia
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,georgia
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,georgia
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,georgia
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,georgia
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,georgia
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,georgia
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,georgia
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,georgia
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,georgia
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,georgia
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,georgia
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,georgia
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,georgia
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,georgia
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,guam
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,guam
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,guam
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,guam
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,guam
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,guam
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,guam
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,guam
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,guam
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,guam
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,guam
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,guam
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,guam
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,guam
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,guam
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,guam
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,guam
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,guam
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,guam
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,guam
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,guam
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,guam
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,guam
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,guam
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,guam
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,guam
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,guam
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,guam
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,hawaii
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,hawaii
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,hawaii
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,hawaii
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,hawaii
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,hawaii
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,hawaii
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,hawaii
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,hawaii
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,hawaii
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,hawaii
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,hawaii
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,hawaii
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,hawaii
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,hawaii
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,hawaii
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,hawaii
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,hawaii
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,hawaii
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,hawaii
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,hawaii
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,hawaii
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,hawaii
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,hawaii
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,hawaii
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,hawaii
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,hawaii
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,hawaii
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,idaho
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,idaho
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,idaho
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,idaho
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,idaho
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,idaho
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,idaho
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,idaho
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,idaho
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,idaho
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,idaho
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,idaho
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,idaho
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,idaho
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,idaho
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,idaho
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,idaho
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,idaho
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,idaho
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,idaho
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,idaho
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,idaho
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,idaho
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,idaho
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,idaho
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,idaho
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,idaho
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,idaho
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,illinois
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,illinois
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,illinois
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,illinois
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,illinois
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,illinois
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,illinois
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,illinois
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,illinois
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,illinois
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,illinois
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,illinois
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,illinois
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,illinois
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,illinois
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,illinois
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,illinois
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,illinois
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,illinois
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,illinois
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,illinois
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,illinois
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,illinois
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,illinois
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,illinois
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,illinois
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,illinois
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,illinois
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,indiana
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,indiana
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,indiana
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,indiana
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,indiana
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,indiana
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,indiana
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,indiana
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,indiana
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,indiana
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,indiana
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,indiana
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,indiana
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,indiana
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,indiana
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,indiana
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,indiana
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,indiana
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,indiana
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,indiana
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,indiana
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,indiana
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,indiana
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,indiana
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,indiana
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,indiana
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,indiana
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,indiana
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,iowa
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,iowa
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,iowa
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,iowa
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,iowa
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,iowa
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,iowa
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,iowa
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,iowa
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,iowa
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,iowa
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,iowa
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,iowa
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,iowa
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,iowa
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,iowa
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,iowa
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,iowa
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,iowa
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,iowa
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,iowa
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,iowa
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,iowa
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,iowa
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,iowa
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,iowa
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,iowa
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,iowa
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,kansas
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,kansas
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,kansas
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,kansas
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,kansas
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,kansas
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,kansas
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,kansas
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,kansas
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,kansas
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,kansas
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,kansas
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,kansas
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,kansas
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,kansas
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,kansas
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,kansas
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,kansas
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,kansas
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,kansas
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,kansas
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,kansas
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,kansas
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,kansas
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,kansas
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,kansas
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,kansas
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,kansas
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,kentucky
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,kentucky
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,kentucky
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,kentucky
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,kentucky
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,kentucky
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,kentucky
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,kentucky
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,kentucky
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,kentucky
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,kentucky
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,kentucky
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,kentucky
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,kentucky
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,kentucky
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,kentucky
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,kentucky
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,kentucky
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,kentucky
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,kentucky
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,kentucky
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,kentucky
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,kentucky
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,kentucky
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,kentucky
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,kentucky
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,kentucky
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,kentucky
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,lousiana
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,lousiana
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,lousiana
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,lousiana
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,lousiana
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,lousiana
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,lousiana
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,lousiana
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,lousiana
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,lousiana
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,lousiana
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,lousiana
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,lousiana
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,lousiana
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,lousiana
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,lousiana
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,lousiana
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,lousiana
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,lousiana
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,lousiana
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,lousiana
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,lousiana
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,lousiana
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,lousiana
